,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.19,168.86,3.89,83,100,1.34,NZ,1595444293
1,puerto escondido,15.85,-97.07,29.0,74,40,5.1,MX,1595444344
2,kapaa,22.08,-159.32,26.67,100,90,1.49,US,1595444010
3,mahebourg,-20.41,57.7,20.0,68,40,5.1,MU,1595444061
4,leningradskiy,69.38,178.42,14.89,50,100,2.98,RU,1595444088
5,estacion coahuila,32.19,-115.0,37.0,39,5,4.1,MX,1595444495
6,vardo,70.37,31.11,9.0,100,90,14.4,NO,1595444496
7,bredasdorp,-34.53,20.04,11.0,93,0,0.9,ZA,1595444497
8,codrington,-38.27,141.97,8.13,81,100,1.4,AU,1595444497
9,ancud,-41.87,-73.82,11.0,53,100,3.6,CL,1595444436
10,karaton,-6.34,106.1,26.0,83,20,1.0,ID,1595444497
11,bambous virieux,-20.34,57.76,20.0,68,40,5.1,MU,1595444497
12,college,64.86,-147.8,13.0,76,90,1.5,US,1595444498
13,salalah,17.02,54.09,27.0,88,75,4.6,OM,1595444310
14,carballo,43.21,-8.69,25.0,61,0,2.6,ES,1595444499
15,qandala,11.47,49.87,31.92,47,76,4.28,SO,1595444499
16,faanui,-16.48,-151.75,25.06,79,27,8.61,PF,1595444499
17,lompoc,34.64,-120.46,16.67,77,0,4.68,US,1595444499
18,hobart,-42.88,147.33,6.67,86,1,0.5,AU,1595444357
19,san andres,12.58,-81.7,31.0,74,75,3.1,CO,1595444422
20,rantepao,-2.97,119.9,19.75,91,92,0.44,ID,1595444379
21,jamestown,42.1,-79.24,26.67,69,75,4.6,US,1595444184
22,sohbatpur,28.52,68.54,36.34,40,0,4.45,PK,1595444500
23,sozimskiy,59.74,52.25,16.08,94,100,2.9,RU,1595444500
24,hukuntsi,-24.0,21.75,10.55,40,0,2.95,BW,1595444500
25,mao,39.89,4.27,26.0,69,20,5.1,ES,1595444500
26,clyde river,70.47,-68.59,8.0,87,90,1.5,CA,1595444309
27,severo-kurilsk,50.68,156.12,9.82,88,54,0.78,RU,1595444339
28,thompson,55.74,-97.86,26.0,47,75,4.1,CA,1595444099
29,busselton,-33.65,115.33,14.44,55,8,9.53,AU,1595444059
30,aksarka,66.56,67.8,8.82,80,0,1.95,RU,1595444501
31,tuktoyaktuk,69.45,-133.04,7.0,87,90,3.6,CA,1595443992
32,itarema,-2.92,-39.92,27.66,61,10,7.42,BR,1595444311
33,punta arenas,-53.15,-70.92,-2.0,92,40,4.1,CL,1595443782
34,tilichiki,60.47,166.1,9.93,75,36,1.41,RU,1595444504
35,kidodi,-7.6,37.0,23.2,53,99,1.53,TZ,1595444504
36,benjamin constant,-4.38,-70.03,31.0,66,75,2.1,BR,1595444504
37,kaitangata,-46.28,169.85,2.78,75,54,7.15,NZ,1595444291
38,japura,-0.32,102.35,23.58,87,71,0.45,ID,1595444467
39,naze,28.37,129.48,25.0,100,100,1.0,JP,1595444084
40,carnarvon,-24.87,113.63,14.0,100,0,3.1,AU,1595444316
